Station	Date(NZST)	Height(m)	Pressure(hPa)	Tair(C)	Tdew(C)	Dir(degT)	Speed(m/s)	StdFlag	RsdFlag	WndFlag	IceFlag	TurFlag	Orig	
17355	20120801:1200	7	1007.6	15.0	10.3	54	5.5	Y	4	4	-	H	U	
17355	20120801:1200	71	1000.0	14.4	-	45	6.7	Y	0	0	6	P	U	
17355	20120801:1200	721	925.0	8.6	-	35	9.8	Y	0	0	3	P	U	
17355	20120801:1200	919	903.0	6.0	-	-	-	N	1	-	-	-	U	
17355	20120801:1200	1412	850.0	3.8	-	45	7.7	Y	0	0	2	P	U	
17355	20120801:1200	2271	764.0	-0.3	-	-	-	N	1	-	-	-	U	
17355	20120801:1200	2397	752.0	-3.1	-	-	-	N	1	-	-	-	U	
17355	20120801:1200	2829	712.0	-3.7	-	-	-	N	1	-	-	-	U	
17355	20120801:1200	2963	700.0	-5.9	-	330	8.2	Y	1	0	1	P	U	
17355	20120802:1200	7	1012.4	15.2	12.0	74	6.9	Y	4	4	-	H	U	
17355	20120802:1200	27	1010.0	15.0	-	-	-	N	1	-	-	-	U	
17355	20120802:1200	111	1000.0	13.0	-	60	8.8	Y	0	0	2	P	U	
17355	20120802:1200	119	999.0	13.0	-	-	-	N	1	-	-	-	U	
17355	20120802:1200	452	960.0	10.8	-	-	-	N	1	-	-	-	U	
17355	20120802:1200	548	949.0	8.6	-	-	-	N	1	-	-	-	U	
17355	20120802:1200	636	939.0	9.4	-	-	-	N	1	-	-	-	U	
17355	20120802:1200	760	925.0	8.6	-	30	9.8	Y	0	0	1	P	U	
17355	20120802:1200	994	899.0	5.6	-	-	-	N	1	-	-	-	U	
17355	20120802:1200	1262	870.0	6.0	-	-	-	N	1	-	-	-	U	
17355	20120802:1200	1451	850.0	2.6	-	10	6.2	Y	1	0	0	P	U	
17355	20120802:1200	1889	805.0	0.4	-	-	-	N	1	-	-	-	U	
17355	20120802:1200	1919	802.0	1.4	-	-	-	N	1	-	-	-	U	
17355	20120802:1200	1949	799.0	-0.5	-	-	-	N	1	-	-	-	U	
17355	20120802:1200	2996	700.0	-5.5	-	20	6.7	Y	1	0	0	P	U	
17355	20120802:1200	5485	504.0	-23.7	-	-	-	N	1	-	-	-	U	
17355	20120802:1200	5543	500.0	-23.7	-	15	10.3	Y	0	0	1	P	U	
17355	20120803:0000	7	1012.5	11.8	11.3	43	2.9	Y	4	4	-	H	U	
17355	20120803:0000	28	1010.0	12.4	-	-	-	N	1	-	-	-	U	
17355	20120803:0000	111	1000.0	12.6	-	40	8.2	Y	0	0	2	P	U	
17355	20120803:0000	758	925.0	7.8	-	345	10.8	Y	0	0	1	P	U	
17355	20120803:0000	1449	850.0	3.4	-	345	9.8	Y	1	0	0	P	U	
17355	20120803:1200	7	1013.4	16.2	11.4	87	2.1	Y	4	4	-	H	U	
17355	20120803:1200	10	1013.0	15.0	-	-	-	N	1	-	-	-	U	
17355	20120803:1200	119	1000.0	13.8	-	65	5.1	Y	0	0	3	P	U	
17355	20120803:1200	582	946.0	9.2	-	-	-	N	1	-	-	-	U	
17355	20120803:1200	617	942.0	10.4	-	-	-	N	1	-	-	-	U	
17355	20120803:1200	643	939.0	8.8	-	-	-	N	1	-	-	-	U	
17355	20120803:1200	767	925.0	9.2	-	60	9.3	Y	0	0	0	P	U	
