Station Date(NZST) Height(m) Pressure(hPa) Tair(C) Tdew(C) Dir(degT) Speed(m/s) StdFlag RsdFlag WndFlag IceFlag TurFlag Orig 
1410 20111001:0000 26 1017.0 12.6 8.0 75 5.1 Y 4 4 - H U 
1410 20111001:0000 168 1000.0 12.0 7.6 - - Y 0 - 2 - U 
1410 20111001:0000 326 981.0 - - 75 9.8 N - 1 - H U 
1410 20111001:0000 626 946.0 - - 70 12.4 N - 1 - H U 
1410 20111001:0000 656 943.0 7.4 6.1 - - N 1 - - - U 
1410 20111001:0000 815 925.0 6.0 4.2 - - Y 0 - 0 - U 
1410 20111001:0000 926 913.0 - - 65 10.8 N - 1 - H U 
1410 20111001:0000 1067 897.0 4.6 1.2 - - N 1 - - - U 
1410 20111001:0000 1159 887.0 6.0 -8.0 - - N 1 - - - U 
1410 20111001:0000 1252 877.0 6.6 -13.4 - - N 1 - - - U 
1410 20111001:0000 1403 861.0 6.0 0.0 - - N 1 - - - U 
1410 20111001:0000 1508 850.0 5.6 -2.4 40 8.8 Y 0 0 0 P U 
1410 20111001:0000 1526 848.0 - - 40 8.8 N - 1 - H U 
1410 20111001:0000 1663 834.0 5.0 -4.0 - - N 1 - - - U 
1410 20111001:0000 1722 828.0 5.0 -13.0 - - N 1 - - - U 
1410 20111001:0000 1781 822.0 5.0 -12.0 - - N 1 - - - U 
1410 20111001:0000 1891 811.0 4.4 -15.6 - - N 1 - - - U 
1410 20111001:0000 2126 788.0 - - 30 8.2 N - 1 - H U 
1410 20111001:0000 2176 783.0 1.8 -4.2 - - N 1 - - - U 
1410 20111001:0000 2426 759.0 - - 25 7.7 N - 1 - H U 
1410 20111001:0000 2661 737.0 -1.7 -13.7 - - N 1 - - - U 
1410 20111001:0000 2726 731.0 - - 25 8.8 N - 1 - H U 
1410 20111001:0000 2869 718.0 -2.9 -7.9 - - N 1 - - - U 
1410 20111001:0000 3026 704.0 - - 20 7.2 N - 1 - H U 
1410 20111001:0000 3070 700.0 -4.1 -11.1 20 7.7 Y 0 0 0 P U 
1410 20111001:0000 3591 655.0 -8.1 -14.1 - - N 1 - - - U 
1410 20111001:0000 3926 627.0 - - 45 8.8 N - 1 - H U 
1410 20111001:0000 4166 608.0 -11.5 -27.5 - - N 1 - - - U 
1410 20111001:0000 4226 603.0 - - 35 7.2 N - 1 - H U 
1410 20111001:0000 4526 580.0 - - 15 6.2 N - 1 - H U 
1410 20111001:0000 4538 579.0 -14.9 -27.9 - - N 1 - - - U 
1410 20111001:0000 5126 535.0 - - 20 7.7 N - 1 - H U 
1410 20111001:0000 5144 534.0 -20.7 -22.4 - - N 1 - - - U 
1410 20111001:0000 5200 530.0 -21.1 -23.0 - - N 1 - - - U 
1410 20111001:0000 5256 526.0 -20.5 -30.5 - - N 1 - - - U 
1410 20111001:0000 5313 522.0 -20.7 -40.7 - - N 1 - - - U 
1410 20111001:0000 5426 514.0 - - 360 7.2 N - 1 - H U 
1410 20111001:0000 5630 500.0 -23.3 -44.3 360 6.2 Y 0 0 0 P U 
1410 20111001:0000 5703 495.0 -23.9 -44.9 - - N 1 - - - U 
1410 20111001:0000 5807 488.0 -22.9 -58.9 - - N 1 - - - U 
1410 20111001:0000 6026 474.0 - - 360 5.1 N - 1 - H U 
1410 20111001:0000 6626 436.0 - - 335 7.2 N - 1 - H U 
1410 20111001:0000 6898 420.0 -27.3 -64.3 - - N 1 - - - U 
1410 20111001:0000 7054 411.0 -25.9 -49.9 - - N 1 - - - U 
1410 20111001:0000 7226 401.0 - - 265 13.9 N - 1 - H U 
1410 20111001:0000 7250 400.0 -27.1 -45.1 265 13.9 Y 0 0 0 P U 
1410 20111001:0000 7749 373.0 -31.9 -42.9 - - N 1 - - - U 
1410 20111001:0000 7844 368.0 -31.7 -34.1 - - N 1 - - - U 
1410 20111001:0000 9257 300.0 -42.5 -51.5 290 15.4 Y 0 0 0 P U 
1410 20111001:0000 9326 297.0 - - 290 15.4 N - 1 - H U 
1410 20111001:0000 10226 259.0 - - 285 19.0 N - 1 - H U 
1410 20111001:0000 10358 254.0 -52.3 -64.3 - - N 1 - - - U 
1410 20111001:0000 10461 250.0 -53.1 -64.1 285 18.0 Y 0 0 0 P U 
1410 20111001:0000 10526 247.0 - - 285 18.0 N - 1 - H U 
1410 20111001:0000 10696 241.0 -55.5 -64.5 - - N 1 - - - U 
1410 20111001:0000 11126 225.0 - - 275 10.8 N - 1 - H U 
1410 20111001:0000 11415 215.0 -60.7 - 305 14.4 N 3 1 - H U 
1410 20111001:0000 11726 205.0 - - 300 17.0 N - 1 - H U 
1410 20111001:0000 11869 200.0 -57.1 -74.1 280 10.8 Y 0 0 0 P U 
1410 20111001:0000 11933 198.0 -56.7 -76.7 - - N 1 - - - U 
1410 20111001:0000 12026 195.0 - - 280 9.8 N - 1 - H U 
1410 20111001:0000 12227 189.0 -58.3 -81.3 - - N 1 - - - U 
1410 20111001:0000 12626 178.0 - - 300 14.4 N - 1 - H U 
1410 20111001:0000 12926 169.0 - - 280 7.7 N - 1 - H U 
1410 20111001:0000 13018 167.0 -51.5 -84.5 - - N 1 - - - U 
