Station	Date(NZST)	Height(m)	Pressure(hPa)	Tair(C)	Tdew(C)	Dir(degT)	Speed(m/s)	StdFlag	RsdFlag	WndFlag	IceFlag	TurFlag	Orig
1410	20130101:0000	26	1018	14.6	10.8	300	2.1	Y	4	4	-	H	U
1410	20130101:0000	127	1006	16	9	-	-	N	1	-	-	-	U
1410	20130101:0000	178	1000	15.6	8.6	-	-	Y	0	-	0	-	U
1410	20130101:0000	326	983	-	-	235	5.1	N	-	1	-	H	U
1410	20130101:0000	626	948	-	-	235	5.7	N	-	1	-	H	U
1410	20130101:0000	834	925	10	6.7	-	-	Y	0	-	0	-	U
1410	20130101:0000	870	921	9.8	6.3	-	-	N	1	-	-	-	U
1410	20130101:0000	915	916	10.8	-3.2	-	-	N	1	-	-	-	U
1410	20130101:0000	926	915	-	-	220	5.1	N	-	1	-	H	U
1410	20130101:0000	1025	904	10.8	-10.2	-	-	N	1	-	-	-	U
1410	20130101:0000	1226	882	-	-	205	5.1	N	-	1	-	H	U
1410	20130101:0000	1526	851	-	-	200	5.7	N	-	1	-	H	U
1410	20130101:0000	1536	850	8	-11	215	6.7	Y	0	0	0	P	U
1410	20130101:0000	1673	836	7.2	-14.8	-	-	N	1	-	-	-	U
1410	20130101:0000	1826	821	-	-	230	10.3	N	-	1	-	H	U
1410	20130101:0000	1902	813	7.6	-26.4	-	-	N	1	-	-	-	U
1410	20130101:0000	2126	791	-	-	235	11.8	N	-	1	-	H	U
1410	20130101:0000	2669	740	2.6	-35.4	-	-	N	1	-	-	-	U
1410	20130101:0000	2726	735	-	-	230	11.8	N	-	1	-	H	U
1410	20130101:0000	2901	719	1.6	-25.4	-	-	N	1	-	-	-	U
1410	20130101:0000	3003	710	2.4	-33.6	-	-	N	1	-	-	-	U
1410	20130101:0000	3118	700	2.2	-25.8	235	12.4	Y	0	0	0	P	U
1410	20130101:0000	3520	666	1.6	-13.4	-	-	N	1	-	-	-	U
1410	20130101:0000	4226	609	-	-	240	18	N	-	1	-	H	U
1410	20130101:0000	5126	543	-	-	255	18	N	-	1	-	H	U
1410	20130101:0000	5318	530	-11.1	-28.1	-	-	N	1	-	-	-	U
1410	20130101:0000	5763	500	-13.5	-40.5	240	18.5	Y	0	0	0	P	U
1410	20130101:0000	5932	489	-14.1	-45.1	-	-	N	1	-	-	-	U
1410	20130101:0000	6026	483	-	-	245	20.6	N	-	1	-	H	U
1410	20130101:0000	7226	410	-	-	235	15.4	N	-	1	-	H	U
1410	20130101:0000	7418	400	-27.5	-45.5	230	19	Y	0	0	0	P	U
1410	20130101:0000	7472	397	-27.9	-45.9	-	-	N	1	-	-	-	U
1410	20130101:0000	8129	362	-32.9	-47.9	-	-	N	1	-	-	-	U
1410	20130101:0000	8426	347	-	-	230	29.9	N	-	1	-	H	U
1410	20130101:0000	8857	326	-39.3	-44	-	-	N	1	-	-	-	U
1410	20130101:0000	9048	317	-40.5	-49.5	-	-	N	1	-	-	-	U
1410	20130101:0000	9421	300	-43.5	-51.5	225	35.5	Y	0	0	0	P	U
1410	20130101:0000	10048	273	-48.9	-54.9	-	-	N	1	-	-	-	U
1410	20130101:0000	10526	254	-	-	225	40.2	N	-	1	-	H	U
1410	20130101:0000	10621	250	-52.9	-67.9	225	40.2	Y	1	0	0	P	U
1410	20130101:0000	11126	231	-	-	220	32.9	N	-	1	-	H	U
1410	20130101:0000	11293	225	-57.9	-70.9	-	-	N	1	-	-	-	U
1410	20130101:0000	11426	220	-	-	235	26.8	N	-	1	-	H	U
1410	20130101:0000	11726	210	-	-	250	35.5	N	-	1	-	H	U
1410	20130101:0000	12033	200	-59.5	-73.5	245	40.2	Y	0	0	0	P	U
1410	20130101:0000	12128	197	-59.9	-73.9	-	-	N	3	-	-	-	U
1410	20130101:0000	12326	191	-	-	240	41.2	N	-	1	-	H	U
1410	20130101:0000	12626	182	-	-	240	29.3	N	-	1	-	H	U
1410	20130101:0000	12926	173	-	-	255	31.9	N	-	1	-	H	U
1410	20130101:0000	13046	170	-61.3	-	-	-	N	1	-	-	-	U
1410	20130101:0000	13226	165	-	-	255	42.7	N	-	1	-	H	U
1410	20130101:0000	13348	162	-	-	255	42.7	N	-	2	-	P	U
1410	20130101:0000	13830	150	-57.3	-89.3	250	32.9	Y	0	1	0	P	U
1410	20130101:0000	13872	149	-57.1	-88.1	-	-	N	1	-	-	-	U
1410	20130101:0000	14426	136	-	-	265	23.7	N	-	1	-	H	U
1410	20130101:0000	14726	130	-	-	270	31.4	N	-	1	-	H	U
1410	20130101:0000	15326	118	-	-	290	27.3	N	-	1	-	H	U
1410	20130101:0000	15822	109	-63.5	-	-	-	N	3	-	-	-	U
1410	20130101:0000	15926	107	-	-	270	24.2	N	-	1	-	H	U
1410	20130101:0000	16226	102	-	-	270	24.7	N	-	1	-	H	U
1410	20130101:0000	16351	100	-63.9	-	270	24.7	Y	1	0	0	P	U
1410	20130101:0000	16826	92.6	-	-	280	27.3	N	-	1	-	H	U
1410	20130101:0000	17354	85	-61.1	-	-	-	N	1	-	-	-	U
1410	20130101:0000	17426	84	-	-	260	16.5	N	-	1	-	H	U
1410	20130101:0000	17726	80	-	-	280	17.5	N	-	1	-	H	U
1410	20130101:0000	18326	72.7	-	-	255	10.8	N	-	1	-	H	U
1410	20130101:0000	18556	70	-62.5	-	265	6.7	Y	0	0	0	P	U
