date,percentile.no2,percentile.pm10,percentile.pm2.5,X,BH.photo,BH.met,ceilmoter.signal,ceilometer.signal.giulio,kidson.type,wd,ws,t,blh.12,percent.point,pm10.pn,pm2.5.pn,no2.pn,no2.qs,nox.qs,sp,dry,bh.1,hinv,oinv,year,kidson.group
7/05/13,>75th,>75th,>75th,7,0,NOBH,NA,shallow,H,SSE,2.3,17.8,NA,NA,22,11,37,37.3,131.6,SP1,DRY,NOBH,,,2013,zonal
13/05/13,>95th,>95th,>95th,13,2,BH,2,shallow,R,WNW,2.2,16.8,350,54,28,19,40,51.3,222.8,SP1,DRY,BH,X,,2013,blocking
14/05/13,>95th,>95th,>95th,14,2,BH,2,shallow,TSW,WSW,2,17.1,150,46,28,15,41,52.4,238.2,SP1,DRY,BH,X,,2013,through
15/05/13,>75th,>90th,>90th,15,1,BH,2,shallow,TSW,SSW,3.2,15.5,150,81,26,14,34,33.7,92.7,SP1,DRY,BH,X,,2013,through
16/05/13,<75th,>75th,>75th,16,0,NOBH,NA,shallow,SW,NE,5.4,19.4,950,23,22,12,20,33.5,66,SP2,DRY,NOBH,,,2013,through
3/06/13,<75th,>75th,>90th,34,0,NOBH,NA,shallow,TSW,E,1.4,14.2,1350,45,19,13,24,41.3,101.7,SP2,DRY,NOBH,,X,2013,through
9/06/13,<75th,<75th,>75th,40,0,NOBH,NA,shallow,HSE,NE,0.7,11.7,400,57,13,10,19,35.2,86.1,UP,,NOBH,,,2013,blocking
10/06/13,<75th,>90th,>90th,41,0,NOBH,1,shallow,HSE,SW,2.4,12.3,600,1,25,13,30,37.5,102.2,SP1,,NOBH,,,2013,blocking
11/06/13,<75th,>95th,>90th,42,0,NOBH,NA,shallow,W,SW,3.9,15.1,600,55,31,13,32,36.5,110.5,SP1,,NOBH,,,2013,zonal
6/07/13,<75th,<75th,<75th,67,0,NOBH,NA,shallow,T,NW,4.2,16.3,1100,29,16,6,17,49.5,137.7,SP2,DRY,NOBH,,X,2013,through
7/07/13,<75th,<75th,<75th,68,0,NOBH,NA,shallow,HNW,W,5.7,16.4,1000,31,16,8,24,55,140.9,UP,DRY,NOBH,,,2013,zonal
19/07/13,>90th,<75th,<75th,80,0,NOBH,NA,shallow,H,WSW,4,14.2,1500,68,16,7,39,61.3,171.5,SP2,DRY,NOBH,,X,2013,zonal
21/07/13,<75th,>75th,>75th,82,0,NOBH,NA,shallow,W,SE,2.5,13.2,550,29,24,12,31,45.2,114.8,SP2,DRY,NOBH,,,2013,zonal
22/07/13,<75th,<75th,>75th,83,NA,BH,2,shallow,W,WSW,1.3,11,150,42,15,10,29,46.5,132.1,SP1,DRY,BH,,,2013,zonal
27/07/13,>75th,>75th,<75th,88,0,NOBH,NA,shallow,HNW,SW,4.4,15.1,1400,52,19,9,33,51.1,122.1,SP2,DRY,NOBH,,X,2013,zonal
28/07/13,<75th,>75th,>75th,89,0,NOBH,1,shallow,HNW,SW,3.9,15.1,900,27,20,10,29,47.5,129.2,UP,DRY,NOBH,,X,2013,zonal
29/07/13,>95th,>95th,>90th,90,0,NOBH,NA,shallow,H,SSW,3,14.9,950,73,29,14,41,54.9,153.1,SP1,DRY,NOBH,,X,2013,zonal
30/07/13,<75th,>75th,>90th,91,NA,BH,2,shallow,HSE,W,1.5,10.8,200,26,23,14,28,46.9,158,SP1,DRY,BH,X,,2013,blocking
8/08/13,<75th,<75th,<75th,100,1,NOBH,2,shallow,HE,N,2.5,17.4,200,16,12,7,22,42.9,164.4,UP,DRY,NOBH,,,2013,blocking
19/08/13,>75th,<75th,>75th,111,0,NOBH,NA,shallow,NE,WSW,1.5,13.4,550,21,18,10,33,45.2,160.3,UP,,NOBH,,,2013,blocking
23/08/13,>90th,<75th,>75th,115,0,NOBH,NA,shallow,TNW,SSW,2.1,11.4,850,15,17,11,39,55.2,216.1,UP,,NOBH,,,2013,through
24/08/13,<75th,<75th,<75th,116,NA,NOBH,2,shallow,HE,NNE,3.6,15.1,200,19,10,5,15,40.1,138.3,UP,DRY,NOBH,,,2013,blocking
26/08/13,<75th,<75th,<75th,118,0,NOBH,2,shallow,W,W,3,14.8,400,22,15,7,28,50.7,164.8,UP,,NOBH,,X,2013,zonal
28/08/13,<75th,<75th,<75th,120,1,NOBH,2,shallow,HE,WNW,3.7,16.7,850,16,15,7,30,49.1,169.6,UP,,NOBH,,,2013,blocking
1/05/14,>75th,<75th,>75th,124,0,NOBH,NA,shallow,TNW,WSW,2.2,18.2,1150,29,18,10,25,57.4,221.8,SP2,DRY,NOBH,,X,2014,through
2/05/14,>90th,>75th,>75th,125,0,NOBH,2,shallow,TNW,WSW,1.6,18.4,830,34,19,11,27,56.3,237.3,SP2,DRY,NOBH,,X,2014,through
11/05/14,<75th,<75th,>75th,134,0,NOBH,NA,shallow,NA,W,0.8,19,1050,21,18,11,19,49.1,154.7,SP1?,NA,NOBH,,,2014,NA
12/05/14,>75th,<75th,<75th,135,0,NOBH,NA,shallow,NA,N,1.5,17.9,1300,22,13,8,24,60.8,214.7,SP1?,NA,NOBH,,,2014,NA
16/05/14,<75th,<75th,>75th,139,0,NOBH,NA,shallow,W,SSW,3.7,14.8,450,6,18,9,21,54.8,165.7,SP2,DRY,NOBH,,X,2014,zonal
17/05/14,>75th,>75th,>75th,140,0,NOBH,NA,shallow,T,SW,6.1,16.1,1100,32,20,11,24,60,183.2,SP2,DRY,NOBH,,X,2014,through
20/05/14,>95th,>75th,>75th,143,0,NOBH,NA,shallow,W,SW,3.4,17.8,800,58,20,10,32,65.4,236.8,SP2,DRY,NOBH,,X,2014,zonal
28/05/14,>95th,>95th,>95th,151,2,BH,NA,shallow,SW,W,1.3,13.1,NA,NA,33,27,42,69.5,306.1,SP1,DRY,NOBH,X,,2014,through
14/06/14,<75th,>90th,>95th,168,0,NOBH,2,shallow,HSE,WSW,3,14.2,NA,NA,23,18,22,53.9,170.4,SP1,DRY,BH,X,X,2014,blocking
15/06/14,>75th,>95th,>95th,169,3,BH,2,shallow,H,WSW,0.8,14.9,200,42,31,21,26,NA,NA,SP1,DRY,BH,X,,2014,zonal
23/06/14,>90th,>75th,>90th,177,NA,BH?,1,shallow,HSE,WSW,1.4,13.2,200,64,22,12,27,54,185.2,SP2,DRY,BH?,X,X,2014,blocking
29/06/14,>75th,>95th,>75th,183,NA,BH?,0,shallow,HSE,WNW,1.2,16,200,55,24,10,26,55.8,137.5,SP2,DRY,BH?,,X,2014,blocking
14/07/14,<75th,>75th,>95th,198,NA,BH?,2,shallow,SW,SSE,1.4,9.7,100,72,22,15,21,59,206.1,SP1,DRY,BH?,X,,2014,through
16/07/14,<75th,>75th,>90th,200,NA,NOBH,NA,shallow,HSE,S,2.3,11.9,NA,NA,21,13,22,48.7,146,SP2,DRY,NOBH,,,2014,blocking
26/07/14,<75th,>75th,<75th,210,0,NOBH,NA,shallow,HSE,W,1.5,14.8,1050,24,19,7,21,38.3,107.8,SP2,DRY,NOBH,,,2014,blocking
18/08/14,>90th,>75th,>75th,233,NA,NOBH,1,shallow,HNW,W,1.5,15,400,38,20,11,27,51.5,134.7,SP2,DRY,NOBH,,X,2014,zonal
23/08/14,<75th,>95th,<75th,238,0,NOBH,NA,shallow,H,SW,6.5,14,1050,50,24,7,22,43.1,97.9,SP1,DRY,BH?,,X,2014,zonal
24/08/14,<75th,<75th,<75th,239,0,NOBH,NA,shallow,HNW,WSW,2.8,14.8,NA,NA,12,8,13,38.5,85.7,SP1,DRY,NOBH,,,2014,zonal
6/05/15,<75th,>75th,<75th,252,1,NOBH,NA,shallow,W,W,4.8,20.1,800,NA,19,13,9.4,NA,NA,SP2,DRY,NA,NA,NA,2015,zonal
7/05/15,<75th,<75th,<75th,253,0,NOBH,NA,shallow,T,NW,3.7,20.9,228,NA,18,13,6.2,NA,NA,SP1,,NA,NA,NA,2015,through
16/05/15,<75th,<75th,<75th,262,0,NOBH,NA,shallow,W,SW,3.7,16,930,NA,16,11,29.9,NA,NA,UP,,NA,NA,NA,2015,zonal
20/05/15,>75th,>90th,>75th,266,0,NOBH,1,shallow,W,SW,3.4,16.6,1456,NA,27,18,36.6,NA,NA,SP2,DRY,NA,NA,NA,2015,zonal
21/05/15,<75th,<75th,<75th,267,0,NOBH,NA,shallow,H,W,5.2,17.1,647,NA,14,11,23.3,NA,NA,UP,DRY,NA,NA,NA,2015,zonal
23/05/15,<75th,<75th,<75th,269,0,NOBH,NA,shallow,H,W,7.9,13.3,151,NA,17,13,23,NA,NA,SP1,,NA,NA,NA,2015,zonal
2/06/15,<75th,<75th,<75th,279,0,NOBH,NA,shallow,TNW,S,2.7,18,433,NA,14,11,6,NA,NA,UP,,NA,NA,NA,2015,through
