date,Kidson,Temp.original,found.correctly,updated.values,temp.updated,temp.final,siggi.original,found.correctly,updated.value,siggi.updated,siggi.final,wd,ws,tair,
1/10/12 12:00,SW,NA,UPDATE,600,600,600,1237,0,NA,1237,NA,236,10,16,
2/10/12 12:00,SW,NA,0,NA,NA,NA,1276,1,NA,1276,1276,242,12,15,
3/10/12 12:00,SW,1516,0,NA,1516,NA,857,0,NA,857,NA,249,10,15,
4/10/12 12:00,W,NA,0,NA,NA,NA,1281,0,NA,1281,NA,242,13,15,
5/10/12 12:00,T,1157,1,NA,1157,1157,1228,1,NA,1228,1228,234,8,15,
6/10/12 12:00,SW,1919,0,NA,1919,NA,1393,"""UPDATE""",1000,1000,1000,246,9,15,
7/10/12 12:00,T,1676,0,NA,1676,NA,1281,0,NA,1281,NA,233,7,14,
8/10/12 12:00,TNW,1529,0,NA,1529,NA,287,1,NA,287,287,29,8,16,
9/10/12 12:00,TNW,2175,0,NA,2175,NA,1554,0,NA,1554,NA,286,7,18,
10/10/12 12:00,W,2248,0,NA,2248,NA,1023,0,NA,1023,NA,248,2,18,
11/10/12 12:00,SW,NA,0,NA,NA,NA,1310,1,NA,1310,1310,233,10,18,
12/10/12 12:00,SW,932,1,NA,932,932,896,1,NA,896,896,336,2,19,
13/10/12 12:00,SW,NA,0,NA,NA,NA,423,1,NA,423,423,298,12,15,
14/10/12 12:00,W,NA,0,NA,NA,NA,1330,0,NA,1330,NA,250,10,15,
15/10/12 12:00,T,1953,0,NA,1953,NA,1311,0,NA,1311,NA,243,12,15,
16/10/12 12:00,SW,1419,1,NA,1419,1419,1544,0,NA,1544,NA,231,11,15,
17/10/12 12:00,T,1594,0,NA,1594,NA,1193,1,NA,1193,1193,265,9,19,
18/10/12 12:00,TNW,1761,UPDATE,600,600,600,613,1,NA,613,613,254,12,17,
19/10/12 12:00,TNW,2150,0,NA,2150,NA,974,0,NA,974,NA,233,16,14,
20/10/12 12:00,T,1606,1,NA,1606,1606,1597,1,NA,1597,1597,230,8,16,
21/10/12 12:00,SW,697,0,NA,697,NA,360,1,NA,360,360,304,7,16,
22/10/12 12:00,SW,1311,0,NA,1311,NA,911,1,NA,911,911,273,10,18,
23/10/12 12:00,SW,NA,0,NA,NA,NA,891,1,NA,891,891,204,6,12,
24/10/12 12:00,W,1096,0,NA,1096,NA,1724,0,NA,1724,NA,41,3,17,
25/10/12 12:00,T,1247,1,NA,1247,1247,1203,1,NA,1203,1203,242,4,16,
26/10/12 12:00,SW,1591,UPDATE,1400,1400,1400,1300,1,NA,1300,1300,215,4,18,
27/10/12 12:00,T,1121,1,NA,1121,1121,862,1,NA,862,862,250,2,19,
28/10/12 12:00,TNW,660,0,NA,660,NA,292,1,NA,292,292,47,6,18,
29/10/12 12:00,TNW,NA,0,NA,NA,NA,258,1,NA,258,258,216,3,15,
30/10/12 12:00,SW,730,1,NA,730,730,1383,0,NA,1383,NA,227,5,20,
31/10/12 12:00,SW,673,1,NA,673,673,716,1,NA,716,716,217,7,17,
1/11/12 12:00,SW,953,1,NA,953,953,1023,1,NA,1023,1023,233,4,19,
2/11/12 12:00,HW,1173,1,NA,1173,1173,1178,1,NA,1178,1178,295,3,19,
3/11/12 12:00,H,NA,0,NA,NA,NA,380,0,NA,380,NA,12,5,18,
4/11/12 12:00,W,2054,0,NA,2054,NA,1602,1,NA,1602,1602,214,11,15,
5/11/12 12:00,R,1642,UPDATE,1400,1400,1400,1349,1,NA,1349,1349,218,9,17,
6/11/12 12:00,TSW,2015,0,NA,2015,NA,1651,0,NA,1651,NA,198,4,16,
7/11/12 12:00,R,NA,0,NA,NA,NA,1407,0,NA,1407,NA,73,2,15,
8/11/12 12:00,R,2159,0,NA,2159,NA,1330,0,NA,1330,NA,214,3,18,
9/11/12 12:00,TNW,NA,0,NA,NA,NA,1505,1,NA,1505,1505,238,3,18,
10/11/12 12:00,TNW,836,1,NA,836,836,1188,1,NA,1188,1188,220,6,18,
11/11/12 12:00,SW,988,1,NA,988,988,1101,1,NA,1101,1101,286,7,18,
12/11/12 12:00,HW,NA,0,NA,NA,NA,292,0,NA,292,NA,242,3,17,
13/11/12 12:00,H,2004,0,NA,2004,NA,1271,0,NA,1271,NA,243,6,18,
14/11/12 12:00,W,2142,0,NA,2142,NA,1354,1,NA,1354,1354,235,10,15,
15/11/12 12:00,R,2238,0,NA,2238,NA,1145,0,NA,1145,NA,275,8,18,
16/11/12 12:00,TSW,2012,0,NA,2012,NA,1247,0,NA,1247,NA,245,9,17,
17/11/12 12:00,R,NA,0,NA,NA,NA,322,1,NA,322,322,18,5,16,
18/11/12 12:00,R,NA,0,NA,NA,NA,1422,1,NA,1422,1422,242,14,17,
