'date','station','tair','twet','rh','tdew'
'2012-01-01 12:00:00',22719,21,'''"17.8"''','''"72"''','''"15.8"'''
'2012-01-02 12:00:00',22719,19.1,'''"16.7"''','''"77"''','''"15"'''
'2012-01-03 12:00:00',22719,21.2,'''"17.1"''','''"64"''','''"14.1"'''
'2012-01-04 12:00:00',22719,21,'''"18.4"''','''"77"''','''"16.8"'''
'2012-01-05 12:00:00',22719,22.7,'''"18.1"''','''"62"''','''"15.1"'''
'2012-01-06 12:00:00',22719,22.9,'''"18.8"''','''"66"''','''"16.2"'''
'2012-01-07 12:00:00',22719,17.6,'''"16.8"''','''"92"''','''"16.3"'''
'2012-01-08 12:00:00',22719,17.6,'''"16.6"''','''"90"''','''"16"'''
'2012-01-09 12:00:00',22719,21.7,'''"18.2"''','''"70"''','''"16"'''
'2012-01-10 12:00:00',22719,19.8,'''"17.3"''','''"77"''','''"15.7"'''
'2012-01-11 12:00:00',22719,22.7,'''"17.9"''','''"60"''','''"14.6"'''
'2012-01-12 12:00:00',22719,21.5,'''"17.6"''','''"66"''','''"14.9"'''
'2012-01-13 12:00:00',22719,21.1,'''"16.1"''','''"57"''','''"12.3"'''
'2012-01-14 12:00:00',22719,20.5,'''"17.2"''','''"70"''','''"14.8"'''
'2012-01-15 12:00:00',22719,22.6,'''"18.2"''','''"63"''','''"15.2"'''
'2012-01-16 12:00:00',22719,20.6,'''"15.5"''','''"56"''','''"11.5"'''
'2012-01-17 12:00:00',22719,18.8,'''"16.8"''','''"81"''','''"15.5"'''
'2012-01-18 12:00:00',22719,22.7,'''"16.9"''','''"53"''','''"12.7"'''
'2012-01-19 12:00:00',22719,22.6,'''"16.6"''','''"51"''','''"12"'''
'2012-01-20 12:00:00',22719,22.1,'''"18.9"''','''"72"''','''"16.8"'''
'2012-01-21 12:00:00',22719,20.7,'''"17"''','''"67"''','''"14.4"'''
'2012-01-22 12:00:00',22719,18.6,'''"17.4"''','''"88"''','''"16.6"'''
'2012-01-23 12:00:00',22719,18.5,'''"12.2"''','''"43"''','''"5.7"'''
'2012-01-24 12:00:00',22719,20.4,'''"14.5"''','''"49"''','''"9.4"'''
'2012-01-25 12:00:00',22719,21,'''"16.6"''','''"62"''','''"13.5"'''
'2012-01-26 12:00:00',22719,21.8,'''"16.2"''','''"53"''','''"11.8"'''
'2012-01-27 12:00:00',22719,17.7,'''"16.8"''','''"91"''','''"16.2"'''
