station,date,tair,twet,rh,tdew
22719,20120101:0000,19.8,19.1,93,18.6
22719,20120101:0100,19.7,19.1,94,18.7
22719,20120101:0200,19.8,19.2,94,18.8
22719,20120101:0300,19.8,19.1,93,18.6
22719,20120101:0400,19.5,18.8,93,18.4
22719,20120101:0500,19.4,18.7,93,18.2
22719,20120101:0600,19.6,18.9,93,18.5
22719,20120101:0700,20,19.3,93,18.8
22719,20120101:0800,19.3,18.7,94,18.3
22719,20120101:0900,19.8,18.3,86,17.4
22719,20120101:1000,19.9,17.9,81,16.5
22719,20120101:1100,20.8,18.1,76,16.4
22719,20120101:1200,21,17.8,72,15.8
22719,20120101:1300,21.3,18.7,77,17.1
22719,20120101:1400,21,18.8,80,17.4
22719,20120101:1500,20.7,19.1,85,18.1
22719,20120101:1600,20.4,18.7,84,17.6
22719,20120101:1700,20.5,18.7,83,17.5
22719,20120101:1800,19.6,18.1,86,17.2
22719,20120101:1900,19.3,18,87,17.1
22719,20120101:2000,18.3,17.3,90,16.6
22719,20120101:2100,17.2,16.6,94,16.2
22719,20120101:2200,17.2,16.6,94,16.2
22719,20120101:2300,17.1,16.5,94,16.1
22719,20120102:0000,17.6,16.2,86,15.2
22719,20120102:0100,17.7,16.3,86,15.3
22719,20120102:0200,17.6,15.8,82,14.5
22719,20120102:0300,17.9,16.2,83,15
22719,20120102:0400,17.8,16,82,14.7
22719,20120102:0500,17.9,15.9,80,14.4
22719,20120102:0600,17.5,15.7,82,14.4
22719,20120102:0700,17.6,15.4,78,13.7
22719,20120102:0800,17.3,15.3,80,13.8
22719,20120102:0900,18.1,15.7,77,14
22719,20120102:1000,18.6,16.2,77,14.5
22719,20120102:1100,18,15.8,78,14.1
22719,20120102:1200,19.1,16.7,77,15
22719,20120102:1300,18.3,16,78,14.4
22719,20120102:1400,19,16.4,75,14.5
22719,20120102:1500,19.2,16,70,13.6
22719,20120102:1600,19.1,15.7,68,13.1
22719,20120102:1700,18.8,15.2,66,12.3
22719,20120102:1800,19,15.5,67,12.8
22719,20120102:1900,17.8,14.5,68,11.8
22719,20120102:2000,17,14.6,76,12.8
22719,20120102:2100,16.7,14.1,74,12.1
22719,20120102:2200,16.1,14,78,12.3
22719,20120102:2300,16,14.3,82,12.9
22719,20120103:0000,15.6,14.1,84,12.9
22719,20120103:0100,14.9,13.9,89,13.1
22719,20120103:0200,15.2,14.3,90,13.6
22719,20120103:0300,15.6,14.7,90,14
22719,20120103:0400,15.9,15,90,14.3
22719,20120103:0500,16.2,15.3,90,14.6
22719,20120103:0600,16.4,15.2,87,14.2
22719,20120103:0700,17.2,15.8,86,14.9
22719,20120103:0800,17.8,16.4,86,15.4
22719,20120103:0900,18.5,17.1,86,16.1
22719,20120103:1000,20.4,17.1,70,14.8
22719,20120103:1100,20.1,17.5,76,15.8
22719,20120103:1200,21.2,17.1,64,14.1
22719,20120103:1300,22,17.4,61,14.1
22719,20120103:1400,21.8,17.2,61,14
22719,20120103:1500,21.9,17.7,64,14.8
22719,20120103:1600,21.4,17,62,13.8
22719,20120103:1700,21,17.4,68,14.9
22719,20120103:1800,20.2,17,71,14.8
