"","date","X","station","tair","twet","rh","tdew"
"13",2015-11-01 12:00:00,13,22719,18.8,14.9,64,11.9
"37",2015-11-02 12:00:00,37,22719,17.2,13.7,66,10.8
"61",2015-11-03 12:00:00,61,22719,17.9,13.9,62,10.5
"85",2015-11-04 12:00:00,85,22719,16.3,13.8,74,11.7
"129",2015-11-06 12:00:00,129,22719,17.6,12.9,55,8.5
"153",2015-11-07 12:00:00,153,22719,21,15.6,54,11.4
"177",2015-11-08 12:00:00,177,22719,18.8,14.5,60,10.9
"201",2015-11-09 12:00:00,201,22719,21.9,18.5,71,16.4
"225",2015-11-10 12:00:00,225,22719,21.6,17.3,63,14.3
"249",2015-11-11 12:00:00,249,22719,19.4,15.1,61,11.7
"273",2015-11-12 12:00:00,273,22719,18.7,15,65,12
"297",2015-11-13 12:00:00,297,22719,15.9,9.2,35,0.5
"321",2015-11-14 12:00:00,321,22719,18.6,13,49,7.7
"345",2015-11-15 12:00:00,345,22719,18.8,16.1,74,14.1
"369",2015-11-16 12:00:00,369,22719,16.8,16.1,93,15.7
"393",2015-11-17 12:00:00,393,22719,17.4,13.3,60,9.6
"417",2015-11-18 12:00:00,417,22719,15.6,11.6,59,7.6
"441",2015-11-19 12:00:00,441,22719,15.9,13.1,71,10.7
"465",2015-11-20 12:00:00,465,22719,19.7,14.8,56,10.7
"489",2015-11-21 12:00:00,489,22719,15,14.3,92,13.7
"513",2015-11-22 12:00:00,513,22719,19.2,16.2,72,14.1
"537",2015-11-23 12:00:00,537,22719,18.7,14,57,10
"561",2015-11-24 12:00:00,561,22719,20.5,15.1,53,10.6
"585",2015-11-25 12:00:00,585,22719,23.8,19.1,62,16.1
"609",2015-11-26 12:00:00,609,22719,21.8,18.6,72,16.5
"633",2015-11-27 12:00:00,633,22719,24.5,19.4,60,16.2
"657",2015-11-28 12:00:00,657,22719,22.9,20,75,18.2
"681",2015-11-29 12:00:00,681,22719,21.1,16.3,59,12.8
"705",2015-11-30 12:00:00,705,22719,22.2,18.3,67,15.8
"729",2015-12-01 12:00:00,729,22719,21.5,18.2,71,16
"753",2015-12-02 12:00:00,753,22719,21.4,16.6,59,13.1
"777",2015-12-03 12:00:00,777,22719,21.2,16,56,12.1
"801",2015-12-04 12:00:00,801,22719,22.4,18.5,67,16
"825",2015-12-05 12:00:00,825,22719,21.4,16.2,56,12.3
"849",2015-12-06 12:00:00,849,22719,22.1,16.3,52,11.8
"873",2015-12-07 12:00:00,873,22719,21.8,18.5,71,16.3
"897",2015-12-08 12:00:00,897,22719,16.1,13.3,71,10.9
"921",2015-12-09 12:00:00,921,22719,19.2,14.1,54,9.7
"945",2015-12-10 12:00:00,945,22719,18.6,14.2,59,10.5
"969",2015-12-11 12:00:00,969,22719,20.1,18.3,83,17.1
"993",2015-12-12 12:00:00,993,22719,23.1,19.3,68,16.9
"1017",2015-12-13 12:00:00,1017,22719,20,16.2,66,13.5
"1041",2015-12-14 12:00:00,1041,22719,18.9,14,55,9.7
"1065",2015-12-15 12:00:00,1065,22719,18.9,15.3,66,12.4
"1089",2015-12-16 12:00:00,1089,22719,21.2,17.1,64,14.1
"1113",2015-12-17 12:00:00,1113,22719,20,15.2,57,11.2
"1137",2015-12-18 12:00:00,1137,22719,18.5,13,50,7.9
"1161",2015-12-19 12:00:00,1161,22719,19.8,16.6,71,14.4
"1185",2015-12-20 12:00:00,1185,22719,20.7,16.6,64,13.7
"1209",2015-12-21 12:00:00,1209,22719,22.1,18.5,69,16.1
"1233",2015-12-22 12:00:00,1233,22719,23,18.6,64,15.8
"1257",2015-12-23 12:00:00,1257,22719,21.7,16.5,56,12.6
"1281",2015-12-24 12:00:00,1281,22719,19.1,16.2,73,14.2
"1305",2015-12-25 12:00:00,1305,22719,18.1,15.3,73,13.2
"1329",2015-12-26 12:00:00,1329,22719,24.9,20.2,63,17.4
"1353",2015-12-27 12:00:00,1353,22719,24.6,19.5,60,16.3
"1377",2015-12-28 12:00:00,1377,22719,23.3,19.2,66,16.6
"1401",2015-12-29 12:00:00,1401,22719,22.3,18.8,70,16.6
"1425",2015-12-30 12:00:00,1425,22719,22.6,18,62,15
