"","date","X","station","wd","ws","sd_wd","sd_ws","period","freq"
"13",2015-11-01 12:00:00,13,22719,238,5.1,16,1.3,1,"H"
"37",2015-11-02 12:00:00,37,22719,239,4.8,13,1,1,"H"
"61",2015-11-03 12:00:00,61,22719,273,5.9,19,1.2,1,"H"
"85",2015-11-04 12:00:00,85,22719,239,12.4,9,1.6,1,"H"
"129",2015-11-06 12:00:00,129,22719,220,3.8,18,1.2,1,"H"
"153",2015-11-07 12:00:00,153,22719,232,3.2,23,0.9,1,"H"
"177",2015-11-08 12:00:00,177,22719,215,4.3,19,1.1,1,"H"
"201",2015-11-09 12:00:00,201,22719,238,5.8,9,0.7,1,"H"
"225",2015-11-10 12:00:00,225,22719,240,3.5,13,0.7,1,"H"
"249",2015-11-11 12:00:00,249,22719,236,8,8,1.2,1,"H"
"273",2015-11-12 12:00:00,273,22719,229,8.6,11,1.1,1,"H"
"297",2015-11-13 12:00:00,297,22719,170,3.3,34,1.3,1,"H"
"321",2015-11-14 12:00:00,321,22719,278,5.8,11,1.2,1,"H"
"345",2015-11-15 12:00:00,345,22719,291,7.9,8,1.1,1,"H"
"369",2015-11-16 12:00:00,369,22719,44,2.3,13,0.7,1,"H"
"393",2015-11-17 12:00:00,393,22719,223,11.4,9,1.7,1,"H"
"417",2015-11-18 12:00:00,417,22719,220,9.7,12,1.8,1,"H"
"441",2015-11-19 12:00:00,441,22719,47,9.2,13,1.6,1,"H"
"465",2015-11-20 12:00:00,465,22719,320,5.7,18,1.4,1,"H"
"489",2015-11-21 12:00:00,489,22719,203,2.8,19,1.1,1,"H"
"513",2015-11-22 12:00:00,513,22719,244,13.1,8,1.6,1,"H"
"537",2015-11-23 12:00:00,537,22719,217,4.8,19,1.3,1,"H"
"561",2015-11-24 12:00:00,561,22719,227,3.5,17,0.9,1,"H"
"585",2015-11-25 12:00:00,585,22719,249,2.3,17,0.8,1,"H"
"609",2015-11-26 12:00:00,609,22719,236,3.4,11,1.1,1,"H"
"633",2015-11-27 12:00:00,633,22719,317,3.4,40,1,1,"H"
"657",2015-11-28 12:00:00,657,22719,276,6.6,8,1.2,1,"H"
"681",2015-11-29 12:00:00,681,22719,225,2.4,60,0.8,1,"H"
"705",2015-11-30 12:00:00,705,22719,37,5.8,16,1,1,"H"
"729",2015-12-01 12:00:00,729,22719,49,5.9,12,1,1,"H"
"753",2015-12-02 12:00:00,753,22719,46,4.4,22,1.1,1,"H"
"777",2015-12-03 12:00:00,777,22719,26,4,25,1.3,1,"H"
"801",2015-12-04 12:00:00,801,22719,230,3.9,14,0.9,1,"H"
"825",2015-12-05 12:00:00,825,22719,241,9.5,11,1.3,1,"H"
"849",2015-12-06 12:00:00,849,22719,247,7.5,12,1.7,1,"H"
"873",2015-12-07 12:00:00,873,22719,274,7.4,15,1.1,1,"H"
"897",2015-12-08 12:00:00,897,22719,226,10.8,12,2.1,1,"H"
"921",2015-12-09 12:00:00,921,22719,219,8.2,14,1.7,1,"H"
"945",2015-12-10 12:00:00,945,22719,246,8.8,11,1.1,1,"H"
"969",2015-12-11 12:00:00,969,22719,236,6.1,7,0.5,1,"H"
"993",2015-12-12 12:00:00,993,22719,277,8.6,7,1.1,1,"H"
"1017",2015-12-13 12:00:00,1017,22719,243,9.8,9,1.4,1,"H"
"1041",2015-12-14 12:00:00,1041,22719,216,7.3,14,1.8,1,"H"
"1065",2015-12-15 12:00:00,1065,22719,239,6.9,14,1,1,"H"
"1089",2015-12-16 12:00:00,1089,22719,239,7.1,11,1.3,1,"H"
"1113",2015-12-17 12:00:00,1113,22719,244,7.3,12,1.3,1,"H"
"1137",2015-12-18 12:00:00,1137,22719,213,7,14,1.8,1,"H"
"1161",2015-12-19 12:00:00,1161,22719,215,9.6,12,1.8,1,"H"
"1185",2015-12-20 12:00:00,1185,22719,221,7.3,14,1.5,1,"H"
"1209",2015-12-21 12:00:00,1209,22719,244,10,9,1.3,1,"H"
"1233",2015-12-22 12:00:00,1233,22719,248,9,11,1.2,1,"H"
"1257",2015-12-23 12:00:00,1257,22719,234,4.5,12,0.9,1,"H"
"1281",2015-12-24 12:00:00,1281,22719,57,6.7,13,1.3,1,"H"
"1305",2015-12-25 12:00:00,1305,22719,214,7.5,11,1.6,1,"H"
"1329",2015-12-26 12:00:00,1329,22719,247,2.8,15,0.8,1,"H"
"1353",2015-12-27 12:00:00,1353,22719,269,2.7,17,0.6,1,"H"
"1377",2015-12-28 12:00:00,1377,22719,244,5.9,10,0.8,1,"H"
"1401",2015-12-29 12:00:00,1401,22719,244,9.4,9,1,1,"H"
"1425",2015-12-30 12:00:00,1425,22719,53,3.5,26,1.1,1,"H"
