"","station","date","wd","ws","sd_wd","sd_ws","period","freq"
"1",22719,2015-11-01 00:00:00,215,6.1,9,1.3,1,"H"
"2",22719,2015-11-01 01:00:00,221,6.8,9,1.2,1,"H"
"3",22719,2015-11-01 02:00:00,215,6,12,1.6,1,"H"
"4",22719,2015-11-01 03:00:00,207,5.1,12,1.4,1,"H"
"5",22719,2015-11-01 04:00:00,211,4.7,11,1.1,1,"H"
"6",22719,2015-11-01 05:00:00,211,4.9,13,1.4,1,"H"
"7",22719,2015-11-01 06:00:00,212,4.5,12,1,1,"H"
"8",22719,2015-11-01 07:00:00,212,4,13,1.7,1,"H"
"9",22719,2015-11-01 08:00:00,202,3.7,21,1.3,1,"H"
"10",22719,2015-11-01 09:00:00,202,3.8,24,1.4,1,"H"
"11",22719,2015-11-01 10:00:00,217,4.6,18,1.2,1,"H"
"12",22719,2015-11-01 11:00:00,220,4.6,17,1.3,1,"H"
"13",22719,2015-11-01 12:00:00,238,5.1,16,1.3,1,"H"
"14",22719,2015-11-01 13:00:00,243,5.4,14,1,1,"H"
"15",22719,2015-11-01 14:00:00,229,5.4,16,1.3,1,"H"
"16",22719,2015-11-01 15:00:00,236,6.5,11,1,1,"H"
"17",22719,2015-11-01 16:00:00,233,6.5,11,1.1,1,"H"
"18",22719,2015-11-01 17:00:00,240,6.9,9,0.8,1,"H"
"19",22719,2015-11-01 18:00:00,236,6.4,10,0.8,1,"H"
"20",22719,2015-11-01 19:00:00,235,5.2,9,0.5,1,"H"
"21",22719,2015-11-01 20:00:00,218,3.4,11,1.1,1,"H"
"22",22719,2015-11-01 21:00:00,232,1.6,14,0.4,1,"H"
"23",22719,2015-11-01 22:00:00,235,1.3,13,0.4,1,"H"
"24",22719,2015-11-01 23:00:00,255,0.4,1,0.2,1,"H"
"25",22719,2015-11-02 00:00:00,257,0.2,0,0.2,1,"H"
"26",22719,2015-11-02 01:00:00,96,0.9,49,0.3,1,"H"
"27",22719,2015-11-02 02:00:00,56,1,20,0.2,1,"H"
"28",22719,2015-11-02 03:00:00,21,0.4,13,0.2,1,"H"
"29",22719,2015-11-02 04:00:00,70,0.5,17,0.2,1,"H"
"30",22719,2015-11-02 05:00:00,33,1.1,45,0.4,1,"H"
"31",22719,2015-11-02 06:00:00,32,0.8,30,0.2,1,"H"
"32",22719,2015-11-02 07:00:00,15,0.9,44,0.3,1,"H"
"33",22719,2015-11-02 08:00:00,269,2.8,34,1.2,1,"H"
"34",22719,2015-11-02 09:00:00,226,2.3,25,1.3,1,"H"
"35",22719,2015-11-02 10:00:00,269,2.5,23,0.7,1,"H"
"36",22719,2015-11-02 11:00:00,246,4.1,20,1,1,"H"
"37",22719,2015-11-02 12:00:00,239,4.8,13,1,1,"H"
"38",22719,2015-11-02 13:00:00,239,4.6,12,0.9,1,"H"
"39",22719,2015-11-02 14:00:00,240,5.4,9,0.8,1,"H"
"40",22719,2015-11-02 15:00:00,234,7.4,8,0.6,1,"H"
"41",22719,2015-11-02 16:00:00,227,7.7,8,0.8,1,"H"
"42",22719,2015-11-02 17:00:00,231,8.1,8,0.8,1,"H"
"43",22719,2015-11-02 18:00:00,234,7.4,9,1,1,"H"
